Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (GO)
P73061	reviewed	URE1_SYNY3	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	ureC sll1750	Synechocystis sp. (strain PCC 6803 / Kazusa)	569	GO:0005829; GO:0009039; GO:0016151; GO:0016812; GO:0043419	cytosol [GO:0005829]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides [GO:0016812]; nickel cation binding [GO:0016151]; urease activity [GO:0009039]; urea catabolic process [GO:0043419]
P73071	reviewed	PROB_SYNY3	Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK)	proB slr2035	Synechocystis sp. (strain PCC 6803 / Kazusa)	375	GO:0003723; GO:0004349; GO:0005524; GO:0005829; GO:0006561; GO:0016310; GO:0055129	cytosol [GO:0005829]; ATP binding [GO:0005524]; glutamate 5-kinase activity [GO:0004349]; RNA binding [GO:0003723]; L-proline biosynthetic process [GO:0055129]; phosphorylation [GO:0016310]; proline biosynthetic process [GO:0006561]
P73097	reviewed	DNAJ2_SYNY3	Chaperone protein DnaJ 2	dnaJ2 sll1933	Synechocystis sp. (strain PCC 6803 / Kazusa)	307	GO:0005829; GO:0006260; GO:0051082; GO:0051085; GO:0051087	cytosol [GO:0005829]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]; chaperone cofactor-dependent protein refolding [GO:0051085]; DNA replication [GO:0006260]
P73133	reviewed	ARGD_SYNY3	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	argD slr1022	Synechocystis sp. (strain PCC 6803 / Kazusa)	429	GO:0003992; GO:0005737; GO:0006526; GO:0030170; GO:0042802	cytoplasm [GO:0005737]; identical protein binding [GO:0042802]; N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity [GO:0003992]; pyridoxal phosphate binding [GO:0030170]; arginine biosynthetic process [GO:0006526]
P73203	reviewed	PYR1_SYNY3	Phycobilisome 32.1 kDa linker polypeptide, phycocyanin-associated, rod 1	cpcC1 sll1580	Synechocystis sp. (strain PCC 6803 / Kazusa)	291	GO:0015979; GO:0030089; GO:0031676	phycobilisome [GO:0030089]; plasma membrane-derived thylakoid membrane [GO:0031676]; photosynthesis [GO:0015979]
P73295	reviewed	TRUA_SYNY3	tRNA pseudouridine synthase A (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	truA sll1820	Synechocystis sp. (strain PCC 6803 / Kazusa)	275	GO:0003723; GO:0009982; GO:0031119; GO:0106029	pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; tRNA pseudouridine synthase activity [GO:0106029]; tRNA pseudouridine synthesis [GO:0031119]
P73334	reviewed	RPOC2_SYNY3	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC2 sll1789	Synechocystis sp. (strain PCC 6803 / Kazusa)	1317	GO:0000428; GO:0003677; GO:0003899; GO:0006351; GO:0008270	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]
P73406	reviewed	CCMK3_SYNY3	Carboxysome shell protein CcmK3 (Carbon dioxide-concentrating mechanism protein CcmK3)	ccmK3 slr1838	Synechocystis sp. (strain PCC 6803 / Kazusa)	103	GO:0015977; GO:0015979; GO:0031470; GO:0043886	carboxysome [GO:0031470]; structural constituent of carboxysome shell [GO:0043886]; carbon fixation [GO:0015977]; photosynthesis [GO:0015979]
P73410	reviewed	CYSK_SYNY3	Cysteine synthase (CSase) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase) (OAS-TL) (O-acetylserine sulfhydrylase)	cysK slr1842	Synechocystis sp. (strain PCC 6803 / Kazusa)	312	GO:0004124; GO:0005737; GO:0006535; GO:0080146	cytoplasm [GO:0005737]; cysteine synthase activity [GO:0004124]; L-cysteine desulfhydrase activity [GO:0080146]; cysteine biosynthetic process from serine [GO:0006535]
P73411	reviewed	G6PD_SYNY3	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	zwf slr1843	Synechocystis sp. (strain PCC 6803 / Kazusa)	509	GO:0004345; GO:0005829; GO:0006006; GO:0009051; GO:0050661	cytosol [GO:0005829]; glucose-6-phosphate dehydrogenase activity [GO:0004345]; NADP binding [GO:0050661]; glucose metabolic process [GO:0006006]; pentose-phosphate shunt, oxidative branch [GO:0009051]
P73448	reviewed	NARB_SYNY3	Nitrate reductase (EC 1.7.5.1)	narB sll1454	Synechocystis sp. (strain PCC 6803 / Kazusa)	714	GO:0009055; GO:0009061; GO:0019333; GO:0030151; GO:0042128; GO:0043546; GO:0051539	4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; molybdenum ion binding [GO:0030151]; molybdopterin cofactor binding [GO:0043546]; anaerobic respiration [GO:0009061]; denitrification pathway [GO:0019333]; nitrate assimilation [GO:0042128]
P73526	reviewed	QUEG_SYNY3	Epoxyqueuosine reductase (EC 1.17.99.6) (Queuosine biosynthesis protein QueG)	queG sll1348	Synechocystis sp. (strain PCC 6803 / Kazusa)	289	GO:0005737; GO:0008033; GO:0008616; GO:0046872; GO:0051539; GO:0052693	cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; epoxyqueuosine reductase activity [GO:0052693]; metal ion binding [GO:0046872]; queuosine biosynthetic process [GO:0008616]; tRNA processing [GO:0008033]
P73528	reviewed	PSBZ_SYNY3	Photosystem II reaction center protein Z (PSII-Z)	psbZ sll1281	Synechocystis sp. (strain PCC 6803 / Kazusa)	62	GO:0009539; GO:0015979; GO:0030096; GO:0031676; GO:0042549	photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; plasma membrane-derived thylakoid photosystem II [GO:0030096]; photosynthesis [GO:0015979]; photosystem II stabilization [GO:0042549]
P73530	reviewed	RS1A_SYNY3	30S ribosomal protein S1 homolog A	rps1A slr1356	Synechocystis sp. (strain PCC 6803 / Kazusa)	328	GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:1990904	ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]
P73655	reviewed	SYW_SYNY3	Tryptophan--tRNA ligase (EC 6.1.1.2) (Tryptophanyl-tRNA synthetase) (TrpRS)	trpS slr1884	Synechocystis sp. (strain PCC 6803 / Kazusa)	337	GO:0004830; GO:0005524; GO:0005737; GO:0006436	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; tryptophan-tRNA ligase activity [GO:0004830]; tryptophanyl-tRNA aminoacylation [GO:0006436]
P73668	reviewed	MURD_SYNY3	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9) (D-glutamic acid-adding enzyme) (UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase)	murD sll2010	Synechocystis sp. (strain PCC 6803 / Kazusa)	452	GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008764; GO:0009252; GO:0051301; GO:0071555	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; UDP-N-acetylmuramoylalanine-D-glutamate ligase activity [GO:0008764]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]
P73676	reviewed	PSBY_SYNY3	Photosystem II protein Y	psbY sml0007	Synechocystis sp. (strain PCC 6803 / Kazusa)	39	GO:0015979; GO:0030096; GO:0030145; GO:0031676	plasma membrane-derived thylakoid membrane [GO:0031676]; plasma membrane-derived thylakoid photosystem II [GO:0030096]; manganese ion binding [GO:0030145]; photosynthesis [GO:0015979]
P73689	reviewed	SPPA_SYNY3	Protease 4 (EC 3.4.21.-) (Endopeptidase IV) (Protease IV homolog) (Signal peptide peptidase)	sppA sll1703	Synechocystis sp. (strain PCC 6803 / Kazusa)	610	GO:0005886; GO:0006465; GO:0008236	plasma membrane [GO:0005886]; serine-type peptidase activity [GO:0008236]; signal peptide processing [GO:0006465]
P73715	reviewed	END3_SYNY3	Endonuclease III (EC 4.2.99.18) (DNA-(apurinic or apyrimidinic site) lyase)	nth slr1822	Synechocystis sp. (strain PCC 6803 / Kazusa)	219	GO:0003677; GO:0006285; GO:0019104; GO:0046872; GO:0051539; GO:0140078	4 iron, 4 sulfur cluster binding [GO:0051539]; class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; DNA binding [GO:0003677]; DNA N-glycosylase activity [GO:0019104]; metal ion binding [GO:0046872]; base-excision repair, AP site formation [GO:0006285]
P73728	reviewed	PRX5_SYNY3	Peroxiredoxin sll1621 (Prx) (EC 1.11.1.27) (Glutathione-dependent peroxiredoxin)	sll1621	Synechocystis sp. (strain PCC 6803 / Kazusa)	189	GO:0005737; GO:0008379; GO:0034599; GO:0042744; GO:0042802; GO:0045454	cytoplasm [GO:0005737]; identical protein binding [GO:0042802]; thioredoxin peroxidase activity [GO:0008379]; cell redox homeostasis [GO:0045454]; cellular response to oxidative stress [GO:0034599]; hydrogen peroxide catabolic process [GO:0042744]
P73755	reviewed	MNMA_SYNY3	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)	mnmA trmU sll0844	Synechocystis sp. (strain PCC 6803 / Kazusa)	358	GO:0000049; GO:0002143; GO:0005524; GO:0005737; GO:0016783	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; sulfurtransferase activity [GO:0016783]; tRNA binding [GO:0000049]; tRNA wobble position uridine thiolation [GO:0002143]
P73807	reviewed	HIS8_SYNY3	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	hisC sll1958	Synechocystis sp. (strain PCC 6803 / Kazusa)	349	GO:0000105; GO:0004400; GO:0030170	histidinol-phosphate transaminase activity [GO:0004400]; pyridoxal phosphate binding [GO:0030170]; histidine biosynthetic process [GO:0000105]
P73833	reviewed	CPHA_SYNY3	Cyanophycin synthetase (EC 6.3.2.29) (EC 6.3.2.30) (Cyanophycin synthase)	cphA slr2002	Synechocystis sp. (strain PCC 6803 / Kazusa)	873	GO:0005524; GO:0009059; GO:0046872; GO:0071160; GO:0071161	ATP binding [GO:0005524]; cyanophycin synthetase activity (L-arginine-adding) [GO:0071161]; cyanophycin synthetase activity (L-aspartate-adding) [GO:0071160]; metal ion binding [GO:0046872]; macromolecule biosynthetic process [GO:0009059]
P73922	reviewed	FBSB_SYNY3	D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase (FBPase class 2/SBPase) (EC 3.1.3.11) (EC 3.1.3.37)	slr2094	Synechocystis sp. (strain PCC 6803 / Kazusa)	345	GO:0006071; GO:0006094; GO:0019253; GO:0030388; GO:0042132; GO:0046872; GO:0050278	fructose 1,6-bisphosphate 1-phosphatase activity [GO:0042132]; metal ion binding [GO:0046872]; sedoheptulose-bisphosphatase activity [GO:0050278]; fructose 1,6-bisphosphate metabolic process [GO:0030388]; gluconeogenesis [GO:0006094]; glycerol metabolic process [GO:0006071]; reductive pentose-phosphate cycle [GO:0019253]
P73933	reviewed	PLSY_SYNY3	Glycerol-3-phosphate acyltransferase (Acyl-PO4 G3P acyltransferase) (Acyl-phosphate--glycerol-3-phosphate acyltransferase) (G3P acyltransferase) (GPAT) (EC 2.3.1.275) (Lysophosphatidic acid synthase) (LPA synthase)	plsY sll1973	Synechocystis sp. (strain PCC 6803 / Kazusa)	222	GO:0005886; GO:0008654; GO:0043772	plasma membrane [GO:0005886]; acyl-phosphate glycerol-3-phosphate acyltransferase activity [GO:0043772]; phospholipid biosynthetic process [GO:0008654]
P73950	reviewed	PLSX_SYNY3	Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase)	plsX slr1510	Synechocystis sp. (strain PCC 6803 / Kazusa)	348	GO:0005737; GO:0006633; GO:0008654; GO:0043811	cytoplasm [GO:0005737]; phosphate:acyl-[acyl carrier protein] acyltransferase activity [GO:0043811]; fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]
P73960	reviewed	LEU3_SYNY3	3-isopropylmalate dehydrogenase (EC 1.1.1.85) (3-IPM-DH) (Beta-IPM dehydrogenase) (IMDH)	leuB slr1517	Synechocystis sp. (strain PCC 6803 / Kazusa)	362	GO:0000287; GO:0003862; GO:0005829; GO:0009098; GO:0051287	cytosol [GO:0005829]; 3-isopropylmalate dehydrogenase activity [GO:0003862]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; leucine biosynthetic process [GO:0009098]
P74111	reviewed	CIKA_SYNY3	Circadian input-output histidine kinase CikA (EC 2.7.13.3)	cikA slr1969	Synechocystis sp. (strain PCC 6803 / Kazusa)	750	GO:0000155; GO:0005524; GO:0005737; GO:0007049; GO:0048511; GO:0051301; GO:1902531	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155]; cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of intracellular signal transduction [GO:1902531]; rhythmic process [GO:0048511]
P74167	reviewed	MGDE_SYNY3	Monoglucosyldiacylglycerol epimerase (GlcDG epimerase) (EC 5.1.3.34)	MgdE sll1376	Synechocystis sp. (strain PCC 6803 / Kazusa)	410	GO:0006071; GO:0006629; GO:0015979; GO:0016020; GO:0016857	membrane [GO:0016020]; racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]; glycerol metabolic process [GO:0006071]; lipid metabolic process [GO:0006629]; photosynthesis [GO:0015979]
P74177	reviewed	RPOC1_SYNY3	DNA-directed RNA polymerase subunit gamma (RNAP subunit gamma) (EC 2.7.7.6) (RNA polymerase subunit gamma) (Transcriptase subunit gamma)	rpoC1 slr1265	Synechocystis sp. (strain PCC 6803 / Kazusa)	626	GO:0000287; GO:0000428; GO:0003677; GO:0003899; GO:0006351; GO:0008270	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; magnesium ion binding [GO:0000287]; zinc ion binding [GO:0008270]; DNA-templated transcription [GO:0006351]
P74199	reviewed	HIK34_SYNY3	Sensor histidine kinase Hik34 (EC 2.7.13.3)	hik34 slr1285	Synechocystis sp. (strain PCC 6803 / Kazusa)	464	GO:0000155	phosphorelay sensor kinase activity [GO:0000155]
P74211	reviewed	PDXH_SYNY3	Pyridoxine/pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5) (PNP/PMP oxidase) (PNPOx) (Pyridoxal 5'-phosphate synthase)	pdxH fprA sll1440	Synechocystis sp. (strain PCC 6803 / Kazusa)	214	GO:0004733; GO:0008615; GO:0010181; GO:0042823	FMN binding [GO:0010181]; pyridoxamine-phosphate oxidase activity [GO:0004733]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]
P74232	reviewed	PUR2_SYNY3	Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (GARS) (Glycinamide ribonucleotide synthetase) (Phosphoribosylglycinamide synthetase)	purD slr1159	Synechocystis sp. (strain PCC 6803 / Kazusa)	419	GO:0004637; GO:0005524; GO:0006189; GO:0009113; GO:0046872	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphoribosylamine-glycine ligase activity [GO:0004637]; 'de novo' IMP biosynthetic process [GO:0006189]; purine nucleobase biosynthetic process [GO:0009113]
P74292	reviewed	NADE_SYNY3	Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing])	nadE slr1691	Synechocystis sp. (strain PCC 6803 / Kazusa)	558	GO:0003952; GO:0004359; GO:0005524; GO:0005737; GO:0008795; GO:0009435	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glutaminase activity [GO:0004359]; NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952]; NAD+ synthase activity [GO:0008795]; NAD biosynthetic process [GO:0009435]
P74330	reviewed	SYC_SYNY3	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	cysS slr0958	Synechocystis sp. (strain PCC 6803 / Kazusa)	483	GO:0004817; GO:0004825; GO:0005524; GO:0005737; GO:0006423; GO:0006431; GO:0008270	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; cysteine-tRNA ligase activity [GO:0004817]; methionine-tRNA ligase activity [GO:0004825]; zinc ion binding [GO:0008270]; cysteinyl-tRNA aminoacylation [GO:0006423]; methionyl-tRNA aminoacylation [GO:0006431]
P74342	reviewed	FOLB_SYNY3	Probable dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin aldolase)	folB slr1626	Synechocystis sp. (strain PCC 6803 / Kazusa)	118	GO:0004150; GO:0005737; GO:0046654; GO:0046656	cytoplasm [GO:0005737]; dihydroneopterin aldolase activity [GO:0004150]; folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]
P74393	reviewed	NHAS2_SYNY3	Na(+)/H(+) antiporter NhaS2 (Sodium/proton antiporter NhaS2)	nhaS2 sll0273	Synechocystis sp. (strain PCC 6803 / Kazusa)	540	GO:0005886; GO:0015385; GO:0015386; GO:0051453; GO:0071805; GO:0098719	plasma membrane [GO:0005886]; potassium:proton antiporter activity [GO:0015386]; sodium:proton antiporter activity [GO:0015385]; potassium ion transmembrane transport [GO:0071805]; regulation of intracellular pH [GO:0051453]; sodium ion import across plasma membrane [GO:0098719]
P74459	reviewed	CLPB1_SYNY3	Chaperone protein ClpB 1	clpB1 slr0156	Synechocystis sp. (strain PCC 6803 / Kazusa)	898	GO:0005524; GO:0005737; GO:0016887; GO:0034605; GO:0042026	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cellular response to heat [GO:0034605]; protein refolding [GO:0042026]
P74467	reviewed	CLPP3_SYNY3	Probable ATP-dependent Clp protease proteolytic subunit 3 (EC 3.4.21.92) (Endopeptidase Clp 3)	clpP3 slr0165	Synechocystis sp. (strain PCC 6803 / Kazusa)	202	GO:0004176; GO:0004252; GO:0005737; GO:0006515; GO:0009368; GO:0051117	cytoplasm [GO:0005737]; endopeptidase Clp complex [GO:0009368]; ATP-dependent peptidase activity [GO:0004176]; ATPase binding [GO:0051117]; serine-type endopeptidase activity [GO:0004252]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]
P74519	reviewed	LIPB_SYNY3	Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	lipB slr0994	Synechocystis sp. (strain PCC 6803 / Kazusa)	227	GO:0005737; GO:0009249; GO:0033819	cytoplasm [GO:0005737]; lipoyl(octanoyl) transferase activity [GO:0033819]; protein lipoylation [GO:0009249]
P74521	reviewed	GLGA1_SYNY3	Glycogen synthase 1 (EC 2.4.1.21) (Starch [bacterial glycogen] synthase 1)	glgA1 glgA sll0945	Synechocystis sp. (strain PCC 6803 / Kazusa)	477	GO:0004373; GO:0005978; GO:0009011; GO:0033201	alpha-1,4-glucan synthase activity [GO:0033201]; glycogen (starch) synthase activity [GO:0004373]; starch synthase activity [GO:0009011]; glycogen biosynthetic process [GO:0005978]
P74578	reviewed	NADA_SYNY3	Quinolinate synthase (EC 2.5.1.72)	nadA sll0622	Synechocystis sp. (strain PCC 6803 / Kazusa)	318	GO:0005829; GO:0008987; GO:0034628; GO:0046872; GO:0051539	cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; quinolinate synthetase A activity [GO:0008987]; 'de novo' NAD biosynthetic process from aspartate [GO:0034628]
P74618	reviewed	6PGL_SYNY3	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	pgl devB sll1479	Synechocystis sp. (strain PCC 6803 / Kazusa)	240	GO:0005829; GO:0005975; GO:0009051; GO:0017057	cytosol [GO:0005829]; 6-phosphogluconolactonase activity [GO:0017057]; carbohydrate metabolic process [GO:0005975]; pentose-phosphate shunt, oxidative branch [GO:0009051]
P74657	reviewed	MURG_SYNY3	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase)	murG slr1656	Synechocystis sp. (strain PCC 6803 / Kazusa)	355	GO:0005886; GO:0005975; GO:0007049; GO:0008360; GO:0009252; GO:0016757; GO:0030259; GO:0050511; GO:0051301; GO:0051991; GO:0071555	plasma membrane [GO:0005886]; glycosyltransferase activity [GO:0016757]; UDP-N-acetyl-D-glucosamine:N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase activity [GO:0051991]; undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase activity [GO:0050511]; carbohydrate metabolic process [GO:0005975]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; lipid glycosylation [GO:0030259]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]
P74709	reviewed	SURE_SYNY3	5'-nucleotidase SurE (EC 3.1.3.5) (Nucleoside 5'-monophosphate phosphohydrolase)	surE sll1108	Synechocystis sp. (strain PCC 6803 / Kazusa)	275	GO:0000166; GO:0004309; GO:0005737; GO:0008253; GO:0008254; GO:0046050; GO:0046872; GO:0106411	cytoplasm [GO:0005737]; 3'-nucleotidase activity [GO:0008254]; 5'-nucleotidase activity [GO:0008253]; exopolyphosphatase activity [GO:0004309]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; XMP 5'-nucleosidase activity [GO:0106411]; UMP catabolic process [GO:0046050]
P74787	reviewed	PSBT_SYNY3	Photosystem II reaction center protein T (PSII-T)	psbT smr0001	Synechocystis sp. (strain PCC 6803 / Kazusa)	31	GO:0009539; GO:0015979; GO:0030096; GO:0031676	photosystem II reaction center [GO:0009539]; plasma membrane-derived thylakoid membrane [GO:0031676]; plasma membrane-derived thylakoid photosystem II [GO:0030096]; photosynthesis [GO:0015979]
P77965	reviewed	RPOB_SYNY3	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB sll1787	Synechocystis sp. (strain PCC 6803 / Kazusa)	1102	GO:0000428; GO:0003677; GO:0003899; GO:0006351; GO:0032549	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; ribonucleoside binding [GO:0032549]; DNA-templated transcription [GO:0006351]
P77969	reviewed	HEM2_SYNY3	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	hemB sll1994	Synechocystis sp. (strain PCC 6803 / Kazusa)	327	GO:0004655; GO:0005829; GO:0006782; GO:0006783; GO:0008270	cytosol [GO:0005829]; porphobilinogen synthase activity [GO:0004655]; zinc ion binding [GO:0008270]; heme biosynthetic process [GO:0006783]; protoporphyrinogen IX biosynthetic process [GO:0006782]
Q55005	reviewed	RNPA_SYNY3	Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5)	rnpA slr1469	Synechocystis sp. (strain PCC 6803 / Kazusa)	124	GO:0000049; GO:0001682; GO:0004526; GO:0030677; GO:0034414; GO:0042781	ribonuclease P complex [GO:0030677]; 3'-tRNA processing endoribonuclease activity [GO:0042781]; ribonuclease P activity [GO:0004526]; tRNA binding [GO:0000049]; tRNA 3'-trailer cleavage, endonucleolytic [GO:0034414]; tRNA 5'-leader removal [GO:0001682]
Q55170	reviewed	UVRB_SYNY3	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	uvrB sll0459	Synechocystis sp. (strain PCC 6803 / Kazusa)	669	GO:0003677; GO:0005524; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432; GO:0016887	cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]
Q55369	reviewed	MOAA_SYNY3	GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)	moaA slr0901	Synechocystis sp. (strain PCC 6803 / Kazusa)	327	GO:0005525; GO:0006777; GO:0019008; GO:0046872; GO:0051539; GO:0061798; GO:0061799; GO:1904047	molybdopterin synthase complex [GO:0019008]; 4 iron, 4 sulfur cluster binding [GO:0051539]; cyclic pyranopterin monophosphate synthase activity [GO:0061799]; GTP 3',8'-cyclase activity [GO:0061798]; GTP binding [GO:0005525]; metal ion binding [GO:0046872]; S-adenosyl-L-methionine binding [GO:1904047]; Mo-molybdopterin cofactor biosynthetic process [GO:0006777]
Q55428	reviewed	CATNT_SYNY3	CC-adding tRNA nucleotidyltransferase (C-adding TNT) (EC 2.7.7.-) (CC-adding enzyme)	sll0825	Synechocystis sp. (strain PCC 6803 / Kazusa)	416	GO:0000049; GO:0000166; GO:0008033; GO:0031123; GO:0046872; GO:0052927	CTP:tRNA cytidylyltransferase activity [GO:0052927]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; tRNA binding [GO:0000049]; RNA 3'-end processing [GO:0031123]; tRNA processing [GO:0008033]
Q55429	reviewed	NU5C_SYNY3	NAD(P)H-quinone oxidoreductase chain 5 (EC 7.1.1.-) (NAD(P)H dehydrogenase I, chain 5) (NDH-1, chain 5)	ndhF slr0844	Synechocystis sp. (strain PCC 6803 / Kazusa)	681	GO:0003954; GO:0005886; GO:0008137; GO:0015990; GO:0042773; GO:0048038	plasma membrane [GO:0005886]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; NADH dehydrogenase activity [GO:0003954]; quinone binding [GO:0048038]; ATP synthesis coupled electron transport [GO:0042773]; electron transport coupled proton transport [GO:0015990]
Q55450	reviewed	GATC_SYNY3	Glutamyl-tRNA(Gln) amidotransferase subunit C (Glu-ADT subunit C) (EC 6.3.5.-)	gatC slr0033	Synechocystis sp. (strain PCC 6803 / Kazusa)	104	GO:0005524; GO:0006412; GO:0006450; GO:0050566; GO:0050567; GO:0070681	asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050566]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567]; glutaminyl-tRNAGln biosynthesis via transamidation [GO:0070681]; regulation of translational fidelity [GO:0006450]; translation [GO:0006412]
Q55471	reviewed	GGTB_SYNY3	Osmoprotective compounds-binding protein GgtB	ggtB slr0529	Synechocystis sp. (strain PCC 6803 / Kazusa)	421	GO:0005886; GO:0008643	plasma membrane [GO:0005886]; carbohydrate transport [GO:0008643]
Q55472	reviewed	GGTC_SYNY3	Osmoprotective compounds uptake permease protein GgtC	ggtC slr0530	Synechocystis sp. (strain PCC 6803 / Kazusa)	279	GO:0005886; GO:0008643; GO:0055085	plasma membrane [GO:0005886]; carbohydrate transport [GO:0008643]; transmembrane transport [GO:0055085]
